id,date,content,username,likecount,retweetcount,replycount,typeofphone,languge
1602629770457538560,2022-12-13 11:41:27+00:00,"Ko vous devez me féliciter Monsieurle Procureur.  Ah Dadis
#ProcesDu28Sept",seriadiallo1,1,0,0,Twitter for Android,fr
1602629451438768128,2022-12-13 11:40:11+00:00,"Ahh Dadis toi président et chef suprême des armées... tu ne peux pas arrêter un de tes gardes du corps ?
Wala il se fout  de notre intelligence. 
#ProcesDu28Sept 
#proces28sept",djouldhino2014,0,0,0,Twitter for Android,fr
1602629399773433856,2022-12-13 11:39:58+00:00,“Blabla de n’importe quoi” 😭 #ProcesDu28Sept,DjebouXoxo,1,0,0,Twitter for iPhone,fr
1602629380785725440,2022-12-13 11:39:54+00:00,Genre un président a peur d’arrêter un homme … Dadis avait a sa disposition une armée entière #ProcesDu28Sept,RenshiFdg,1,0,0,Twitter for iPhone,fr
1602629371906375680,2022-12-13 11:39:52+00:00,"Dadis c’est un comédien N’NAllah 😂😂😂
#ProcesDu28Sept",lilkesh_fofana,14,4,1,Twitter for iPhone,fr
1602629220546629633,2022-12-13 11:39:16+00:00,Donc Dadis avait vraiment peur de toumba incroyable  #ProcesDu28Sept,tptony224,1,0,0,Twitter for iPhone,fr
1602628957966372871,2022-12-13 11:38:13+00:00,"Si on écoute Dadis ,on comprend que malgré tout les discours machiavéliques et sekoutoureïstes qu'il tenait pour nous intimider,en réalité il ne contrôlait rien du tout et ne pouvait rien face aux Toumba et autres, ou du moins c'est ce qu'il veut nous faire gober!
#ProcesDu28Sept",MrPersonne94,8,1,4,Twitter for Android,fr
1602628759856750592,2022-12-13 11:37:26+00:00,"Ce monsieur ce fout de l'intelligence de tout le monde je suis désolé, Pfffffffff🤦🏾‍♂️😡
#ProcesDu28Sept #Dadis",NfalyTraaore,11,3,3,Twitter for Android,fr
1602628488527335426,2022-12-13 11:36:21+00:00,Dadis Camara dit publiquement qu’il ne pouvait pas arrêté Toumba parce qu’il était puissamment armé. Un aveu d’impuissance #ProcesDu28Sept,celloulesage,2,1,2,Twitter for iPhone,fr
1602628439235772416,2022-12-13 11:36:09+00:00,Ahh ça crie moins aujourd’hui là #ProcesDu28Sept,Mouna___Diallo,0,0,0,Twitter for iPhone,fr
1602628197119574016,2022-12-13 11:35:12+00:00,Informez Paul Biya qu'il a un fils par là. #ProcesDu28Sept #Kibaro,cireass,0,0,0,Twitter for Android,fr
1602627468468359169,2022-12-13 11:32:18+00:00,"Dadis m’énerve, il est trop de mauvaise foi, il esquive les choses en rentrant dans un discours qui n’a pas de sens 
#ProcesDu28Sept",Cremedemiel,10,3,1,Twitter for iPhone,fr
1602627458729140224,2022-12-13 11:32:16+00:00,"Dadis à un chat 🐱 dans gorge 
#ProcesDu28Sept",GMeurtri,2,1,3,Twitter for Android,fr
1602626698364829698,2022-12-13 11:29:14+00:00,Le procureur est devenu monsieur l’empereur des poursuites mais c’est pour me tuer 😭 #ProcesDu28Sept,DjebouXoxo,2,0,2,Twitter for iPhone,fr
1602626305463390208,2022-12-13 11:27:41+00:00,Dadis ne se rend toujours pas compte qu’il est à la barre #ProcesDu28Sept,celloulesage,0,0,0,Twitter for iPhone,fr
1602626080665485318,2022-12-13 11:26:47+00:00,"“L’empereur des poursuites” 😂😂😂😂 
#ProcesDu28Sept",BoubaDiari,0,0,0,Twitter for iPhone,fr
1602625967305932802,2022-12-13 11:26:20+00:00,"Ça va être chaud 🥵 pour les avocats de Dadis je voudrais pas être à leur place pour défendre un dossier comme ça 😂
#DadisDisNousTout 
#ProcesDu28Sept",Dialloabdallah8,1,0,0,Twitter for iPhone,fr
1602625515206098944,2022-12-13 11:24:32+00:00,Aujourd’hui seulement papa Dadis est calme #ProcesDu28Sept,MissMara5,1,1,2,Twitter for iPhone,fr
1602624940821323777,2022-12-13 11:22:15+00:00,"C'est chaud hein.
Confondre le président au un procureur.
#ProcesDu28Sept #Procesdu28Septembre",Hassimiou103,1,1,0,Twitter for Android,fr
1602624936719286272,2022-12-13 11:22:14+00:00,#ProcesDu28Sept https://t.co/fG7741oPv5,Ibrahimkondjeya,0,0,0,Twitter for Android,qht
1602624731647188992,2022-12-13 11:21:26+00:00,"Il l'a bien perturbé 😆, à tel point qu'il confond président et procureur 😆!
#ProcesDu28Sept",MrPersonne94,1,0,0,Twitter for Android,fr
1602624510620045313,2022-12-13 11:20:33+00:00,Que Dieu me donne le charisme et éloquence du procureur algassimou …c’est clairement le best du parquet . #ProcesDu28Sept,louismilli18,14,0,1,Twitter for iPhone,fr
1602623944309211136,2022-12-13 11:18:18+00:00,Je n’ai plus de mots pour qualifier Dadis #ProcesDu28Sept,DjebouXoxo,0,0,0,Twitter for iPhone,fr
1602623628176244736,2022-12-13 11:17:02+00:00,"Alpha Condé doit venir donner sa version les accusations sont si graves !
#ProcesDu28Sept 

@alphacondepresi",ABantignel,1,0,0,Twitter for Android,fr
1602623426677669888,2022-12-13 11:16:14+00:00,Dadis qui dit au procureur de se calmer ptdr on est où là?? #ProcesDu28Sept,douceaichaa,20,1,7,Twitter for iPhone,fr
1602623384478797825,2022-12-13 11:16:04+00:00,"13 longues années séparent la première saison du #DadisShow de la deuxième et notre Moussa national tient toutes les promesses : colérique, impulsif et incohérent. Mais c'est à moi, Kôrô qu'il en veut plus que tout.
Héééé Moussa, je t'ai fait quoi ? 😁
#ProcesDu28Sept",Prof_AlphaConde,99,11,23,Twitter for Android,fr
1602623279566622720,2022-12-13 11:15:39+00:00,"La mauvaise foi de Dadis est trop flagrante, beaucoup trop flagrante même !
Ça se voit qu'il esquive les questions comme il peut !
Mec assumes ce que tu as à assumer, demande pardon aux victimes et parents des victimes et fait nous gagner du temps !
#ProcesDu28Sept",MrPersonne94,5,2,0,Twitter for Android,fr
1602622970194796544,2022-12-13 11:14:26+00:00,Il a dut calmez vous mr le procureur 😂😂😂 #ProcesDu28Sept,astoodiamond,0,0,0,Twitter for iPhone,fr
1602621059693481985,2022-12-13 11:06:50+00:00,"Le @Prof_AlphaConde a fait quoi à #Dadis ? On dirait un règlement de compte.
#ProcesDu28Sept 
#Guinée",Aguibou_Toure17,1,0,1,Twitter for Android,fr
1602620472021098496,2022-12-13 11:04:30+00:00,"Ahhh dadis, toujours en hors sujet. 
Calm down M. Le philosophe sinon tu vas prendre tout ce mois de décembre à la barre. 
#ProcesDu28Sept",BahScientifique,2,1,2,Twitter for Android,fr
1602620439272083462,2022-12-13 11:04:22+00:00,"#Dadis est frustrant à écouter..  
#ProcesDu28Sept",Dkingabdallah,1,0,0,Twitter for Android,fr
1602620296896339968,2022-12-13 11:03:48+00:00,"#ProcesDu28Sept
Dadis avec le procureur 😭😭 https://t.co/6WnhzIUjIr",NfalyTraaore,14,4,3,Twitter for Android,fr
1602619886391418881,2022-12-13 11:02:10+00:00,Dadis c’est un problème générationnel 😂 #ProcesDu28Sept,cheickhamidth,5,0,1,Twitter for iPhone,fr
1602619760021499905,2022-12-13 11:01:40+00:00,@Prof_AlphaConde @alphacondepresi @PresAlphaConde doit avoir un grand sourire au coin en ce moment car tonton Dadis mélange tout encore. Le Dadis show est de retour mais cette fois-ci c’est lui qui répond aux questions 😂😂😂 #ProcesDu28Sept #Guinee,McolmLX,0,0,0,Twitter for iPhone,fr
1602619611966570499,2022-12-13 11:01:05+00:00,"Mr Dadis Camara ça glisse dehhh 
Ça glisse 
Attention ⚠️ 
Faut faire doucement 
#ProcesDu28Sept",GMeurtri,5,1,3,Twitter for Android,fr
1602619424506265600,2022-12-13 11:00:20+00:00,"Le procès c'est pour les évènements du 28 septembre je pense.
#ProcesDu28Sept",GondwanaisX,2,2,0,Twitter for Android,fr
1602619270277566465,2022-12-13 10:59:43+00:00,Vous denigré et moquer de Dadis just Parsque il correspond pas à votre verité et vos Agenda de soutien à Toumba mdrrrrrrr #ProcesDu28Sept,DialloAladjii,1,0,0,Twitter for Android,fr
1602618784044531712,2022-12-13 10:57:47+00:00,"🤣🤣🤣
#ProcesDu28Sept https://t.co/cb9y6gSghF",NfabanaDiane,1,0,0,Twitter for Android,und
1602618669112123394,2022-12-13 10:57:20+00:00,"Mdr c’est ce Mr qui était à la tête du pays ? je pense que même grand co aurait été mieux 🤣🤣🤣
#ProcesDu28Sept",bouchriou,8,3,2,Twitter for iPhone,fr
1602618095528706048,2022-12-13 10:55:03+00:00,"Dadis attend qu'on te pose la question d'abord ❓ 🤣
#ProcesDu28Sept",NfabanaDiane,0,0,0,Twitter for Android,fr
1602617978268286977,2022-12-13 10:54:35+00:00,"La patience de Dadis est aussi longue qu'un clignement des yeux 

#ProcesDu28Sept",MonsieurWangrin,1,0,0,Twitter for Android,fr
1602617929635446785,2022-12-13 10:54:24+00:00,"Dadis on dirait il a mémorisé ce qu’il dit . 
#ProcesDu28Sept",Bald917,1,0,1,Twitter for iPhone,fr
1602617681148055556,2022-12-13 10:53:25+00:00,L'argument de Dadis qu'il voulait aller au stade pour calmer la foule ne tient pas route. Tu vas calmer des gens qui manifeste contre toi ? #ProcesDu28Sept,algamishrmcf,1,0,0,Twitter for Android,fr
1602617575363444736,2022-12-13 10:52:59+00:00,#ProcesDu28Sept https://t.co/lAANS4uEjj,KabaSalifu0,1,0,0,Twitter for Android,qht
1602616987540242432,2022-12-13 10:50:39+00:00,"On a tous oublié le commandant Moussa Keita secrétaire permanent du CNDD. 
#ProcesDu28Sept",first_pick15,1,0,2,Twitter for Android,fr
1602616713874391042,2022-12-13 10:49:34+00:00,"Est-ce que Dadis comprend français? 
#ProcesDu28Sept",JamesFritzFost3,0,0,0,Twitter for Android,fr
